Timestamp 	 CPU-Usage
13:39:14.268 20
13:39:15.274 9
13:39:16.282 9
13:39:17.288 11
13:39:18.295 8
13:39:19.302 9
13:39:20.309 8
13:39:21.316 11
13:39:22.323 8
13:39:23.331 11
13:39:24.338 17
13:39:25.346 13
13:39:26.351 15
13:39:27.357 15
13:39:28.364 13
13:39:29.371 5
13:39:30.378 16
13:39:31.386 13
13:39:32.392 11
13:39:33.399 8
13:39:34.406 18
13:39:35.414 25
13:39:36.420 14
13:39:37.428 5
13:39:38.436 7
13:39:39.443 8
13:39:40.454 14
13:39:41.462 19
13:39:42.467 16
13:39:43.472 26
13:39:44.480 15
13:39:45.488 8
13:39:46.496 4
13:39:47.502 8
13:39:48.508 17
13:39:49.514 13
13:39:50.522 15
13:39:51.530 15
13:39:52.538 17
13:39:53.544 19
13:39:54.552 4
13:39:55.559 3
13:39:56.567 3
13:39:57.575 17
13:39:58.583 19
13:39:59.591 27
13:40:00.598 13
13:40:01.606 12
13:40:02.613 16
13:40:03.618 19
13:40:04.623 19
13:40:05.631 19
13:40:06.638 13
13:40:07.647 15
13:40:08.654 11
13:40:09.663 12
13:40:10.671 23
13:40:11.679 5
13:40:12.687 7
13:40:13.695 15
13:40:14.704 13
13:40:15.712 6
13:40:16.720 19
13:40:17.728 28
13:40:18.736 10
13:40:19.744 9
13:40:20.751 15
13:40:21.757 24
13:40:22.764 12
13:40:23.771 7
13:40:24.779 13
13:40:25.787 38
13:40:26.793 56
13:40:27.799 30
13:40:28.806 14
13:40:29.812 11
13:40:30.819 10
13:40:31.826 22
13:40:32.832 18
13:40:33.840 10
13:40:34.848 20
13:40:35.855 17
13:40:36.862 4
13:40:37.867 10
13:40:38.872 24
13:40:39.877 28
13:40:40.882 15
13:40:41.973 13
13:40:42.980 9
13:40:43.987 7
13:40:44.994 13
13:40:46.001 4
13:40:47.008 21
13:40:48.014 25
13:40:49.022 6
13:40:50.030 4
13:40:51.037 7
13:40:52.045 9
13:40:53.053 28
13:40:54.060 14
13:40:55.068 10
13:40:56.076 15
13:40:57.083 11
13:40:58.091 19
13:40:59.099 10
13:41:00.107 13
13:41:01.115 10
13:41:02.124 16
13:41:03.131 12
13:41:04.139 20
13:41:05.146 13
13:41:06.153 15
13:41:07.161 11
13:41:08.167 11
13:41:09.174 10
13:41:10.182 20
13:41:11.190 27
13:41:12.198 12
13:41:13.204 24
13:41:14.211 13
13:41:15.219 8
13:41:16.227 29
13:41:17.233 16
13:41:18.241 10
13:41:19.248 9
13:41:20.255 22
13:41:21.263 15
13:41:22.271 9
13:41:23.278 18
13:41:24.285 22
13:41:25.289 17
13:41:26.295 12
13:41:27.304 12
13:41:28.311 10
13:41:29.319 8
13:41:30.327 7
13:41:31.334 7
13:41:32.342 8
13:41:33.350 11
13:41:34.358 21
13:41:35.365 20
13:41:36.373 14
13:41:37.381 20
13:41:38.388 4
13:41:39.395 3
13:41:40.403 4
13:41:41.408 12
13:41:42.414 24
13:41:43.420 12
13:41:44.429 13
13:41:45.437 8
